,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,label,ph,Location,Nitrogen Content    ( kg ha-1),Electrical Conductivity      (dSm-1),Organic Carbon (%)
937,53.75759045,55.46571979,55.12562859,56.76545792,0.409689762,0.37462352,0.388549972,0.352109754,0.023099704,0.021101481,0.02074965,0.020316211,4827.665087,5104.650233,5007.255657,5288.497618,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
938,59.72250651,61.98803375,59.4112069,61.01976795,0.383897663,0.345164954,0.386911488,0.357773288,0.020818799,0.019284454,0.020791222,0.020092156,5926.78788,6277.879828,5860.039583,6156.624482,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
939,53.73002963,54.99208918,53.3815194,55.97004801,0.422353284,0.396193845,0.426917955,0.382122943,0.023945696,0.022876246,0.023426872,0.021580449,4857.44056,5055.325871,4782.290894,5173.566178,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
940,52.04923243,54.18073034,51.39804239,52.78924493,0.429839483,0.392177594,0.439380999,0.410812101,0.022928877,0.021410295,0.023286844,0.023112147,4545.846485,4834.249036,4452.589673,4685.243708,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
941,57.7888859,59.94589729,57.71436782,58.68420383,0.383781225,0.346810747,0.39122233,0.367331767,0.021056724,0.020018315,0.021558015,0.02115119,5579.839232,5902.610661,5501.239332,5716.903924,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
942,56.75640542,58.74112534,56.31936063,57.99225286,0.397019587,0.366150246,0.407421333,0.372875825,0.021966984,0.020050158,0.022992747,0.021599821,5410.535703,5676.456409,5302.54357,5614.989452,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
943,57.60585331,58.74019786,57.978125,60.03942678,0.384048369,0.363132168,0.38230467,0.342122603,0.021506143,0.021095808,0.020669969,0.019511967,5520.50579,5706.864552,5538.735237,5895.529679,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
944,54.75777,55.70409908,54.48699713,57.05813996,0.429492935,0.411657447,0.439677216,0.390681841,0.023633567,0.023035794,0.022399378,0.02146871,5096.619337,5243.229123,4993.933333,5430.529406,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
945,52.66867762,55.04002691,52.47740661,53.70184404,0.439151271,0.398258241,0.447890963,0.41939639,0.024312923,0.021791081,0.023733077,0.023726509,4733.047634,5057.530025,4636.93556,4879.447679,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
946,58.09884191,60.82738052,58.61594828,59.44429694,0.407929246,0.363222568,0.404892435,0.385391922,0.021785528,0.021061535,0.021892558,0.021227989,5680.24381,6112.379828,5714.006645,5899.071779,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
947,54.93970733,56.92407434,54.43155532,55.76378483,0.392449181,0.356311272,0.401845214,0.374286167,0.021562787,0.020614377,0.021864869,0.02190542,5009.882665,5295.120226,4920.016792,5147.474849,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
948,57.39272825,59.83541864,56.77327586,58.39459518,0.424185766,0.384201224,0.432120124,0.402929259,0.022068688,0.020107876,0.021600665,0.021766879,5539.590879,5911.659053,5446.290158,5731.514003,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
949,53.17225963,54.26874955,52.67566451,54.97715865,0.394476921,0.370966205,0.403594005,0.361887632,0.023073613,0.02181158,0.02261091,0.020500288,4733.747787,4896.242889,4631.88389,4965.791809,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
950,57.36475447,59.2975922,56.81005747,58.59807594,0.394645982,0.362931256,0.406950834,0.36901089,0.021485872,0.019737315,0.021748782,0.021324827,5520.54583,5787.363243,5381.692708,5731.46361,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
951,53.41118592,56.37197207,54.68764368,55.14728668,0.410525431,0.352953315,0.390392528,0.376725582,0.023297571,0.020945412,0.02087009,0.020725253,4767.428207,5224.57438,4937.635955,5031.802084,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
952,55.49029536,56.42021896,54.97841236,57.51225722,0.388777855,0.368185305,0.395232232,0.352887266,0.021308896,0.022386281,0.021827003,0.019392785,5105.085699,5267.215156,5029.134124,5394.857278,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
953,53.67465661,55.23628792,54.74295977,56.40921656,0.391892732,0.360972983,0.375692848,0.339315554,0.022289692,0.020907632,0.021252373,0.020142795,4790.461155,5028.445606,4926.876114,5199.182222,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
